CALL_OI,CALL_CHNG IN OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID QTY,CALL_BID,CALL_ASK,CALL_ASK QTY,STRIKE,PUT_BID QTY,PUT-BID,PUT_ASK,PUT_ASK QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG IN OI,PUT_OI
76,-,-,-,"2,484.45",-0.15,150,"2,473.65","2,587.75",150,"22,950.00","14,625",1.05,1.1,"16,725",-0.1,1.05,30.68,"1,64,984","19,170","31,381"
428,7,49,-,"2,472.20",33.55,75,"2,466.40","2,478.50",75,"23,000.00","24,375",1,1.05,"14,850",-0.1,1.05,30.11,"1,74,311","20,910","40,623"
6,-,-,-,"2,345.35",-,150,"2,375.00","2,487.40",150,"23,050.00",225,1.1,1.2,75,-0.1,1.15,29.82,"26,604","2,789","3,288"
9,-,-,-,"2,475.00",-,450,"2,310.15","2,437.55",450,"23,100.00","14,025",1.1,1.15,750,-0.2,1.1,29.25,"37,547","3,537","5,152"
5,-,-,-,"1,941.35",-0.2,450,"2,260.65","2,387.45",450,"23,150.00",525,1.05,1.25,"1,800",-0.15,1.2,28.8,"18,770","2,421","2,761"
11,-,-,-,"2,330.00",-,450,"2,212.10","2,325.50",450,"23,200.00","10,500",1.1,1.25,150,-0.25,1.1,27.97,"30,192","3,696","5,240"
3,-,-,-,"1,838.30",-,450,"2,161.35","2,280.25",450,"23,250.00","1,575",1.1,1.2,900,-0.3,1.1,27.4,"21,193","2,034","2,522"
28,-,-,-,"2,120.00",-,450,"2,112.10","2,226.05",450,"23,300.00","6,900",1.15,1.2,75,-0.25,1.15,26.95,"31,603","4,612","5,447"
4,-,-,-,"1,763.50",-,450,"2,059.75","2,173.75",450,"23,350.00",825,1.2,1.6,300,-0.3,1.2,26.5,"13,424",792,"1,179"
24,-,-,-,"2,054.70",-,450,"2,013.15","2,133.05",450,"23,400.00","2,400",1.3,1.4,"5,550",-0.15,1.35,26.26,"32,651","2,967","4,506"
6,-,-,-,"1,991.75",0.9,150,"1,966.85","2,080.15",150,"23,450.00","13,200",1.3,1.55,450,-0.2,1.3,25.57,"21,393","2,360","2,570"
333,-3,35,-,"1,972.30",33.25,75,"1,912.15","1,984.60",75,"23,500.00",975,1.4,1.5,150,-0.2,1.4,25.2,"1,43,869","16,834","29,053"
10,-,-,-,"1,891.40",-,450,"1,870.60","1,978.85",450,"23,550.00","2,775",1.3,1.65,75,-0.3,1.3,24.41,"18,119",889,"1,184"
19,4,8,-,"1,801.00",-49,150,"1,811.95","1,909.45",150,"23,600.00","5,550",1.4,1.65,150,-0.3,1.4,24.03,"51,487","4,505","6,406"
4,-,-,-,"1,913.95",-,450,"1,763.35","1,880.65",450,"23,650.00","1,050",1.55,2,"6,000",-0.2,1.55,23.72,"34,762","1,178","1,425"
35,1,4,-,"1,760.00",6.65,450,"1,713.15","1,833.10",450,"23,700.00",150,1.55,1.85,450,-0.25,1.6,23.22,"1,06,282","7,938","11,582"
8,-,-,-,"1,694.50",-,450,"1,665.85","1,772.70",450,"23,750.00",150,1.6,1.85,900,-0.3,1.65,22.71,"48,167","2,030","2,715"
136,-,-,-,"1,724.00",-,450,"1,614.65","1,719.30",450,"23,800.00","1,800",1.75,2,"8,625",-0.35,1.7,22.63,"1,32,018","6,137","13,247"
5,-,-,-,"1,629.55",-,150,"1,563.65","1,681.25",150,"23,850.00","3,600",1.65,2.3,"1,800",-0.15,2,22.02,"46,061","2,012","2,391"
294,23,66,-,"1,580.40",40.4,450,"1,515.50","1,631.85",150,"23,900.00","1,125",1.8,2.15,"1,200",-0.5,1.8,21.14,"1,43,109","5,915","24,172"
11,-,-,-,"1,499.15",-,150,"1,464.40","1,579.00",150,"23,950.00",825,2,2.2,375,-0.5,2.05,20.88,"78,691","3,374","4,785"
"1,586",-91,"3,064",-,"1,473.50",34.15,150,"1,471.05","1,481.30",225,"24,000.00","1,350",2.15,2.3,975,-0.75,2.15,20.39,"4,07,043","17,906","81,936"
14,8,22,-,"1,308.15",-156.95,150,"1,367.20","1,484.00",150,"24,050.00",300,2.3,2.5,"1,800",-0.4,2.6,20.27,"66,327",613,"2,221"
